comment,label,rate,
Áo bao đẹp ạ!!,POS,5,
Tuyệt vời !,POS,5,
2day ao khong giong trong.,NEG,1,
"Vải đẹp, dày dặn.",POS,5,
"Hàng rất đẹp, rất chi là ưng ý.",POS,5,
Shop phục vụ rất tốt.,POS,5,
Mặc thì cũng đc.,NEU,3,
Chất vải khỏi chê.,POS,5,
Chất lượng sản phẩm tuyệt vời.,POS,4,
vải hơi thô cứng Thời gian giao hàng nhanh.,POS,5,
Chất lượng sp chưa thật sự đẹp nhe shop!,POS,4,
Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,5,
Quần rất đẹp mặc vừa vặn.,POS,5,
Cảm giác mua hàng bị hớ thật tệ!,NEG,2,
Khi mua về nên đi sửa lại.,NEG,2,
Với giá này thì sản phẩm tạm ổn chưa đc gọi là đẹp lắm.,NEU,3,
Rất đáng tiền Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời.,POS,5,
Giá cả chấp nhận được.,POS,4,
Nchung là rất ổn ❤️.,POS,5,
"Áo quá đẹp luôn nếu không muốn nói là đẹp, may quá có áo mới đi làm cty mới, shop còn mẫu nào trắng nữa để mình mua.",POS,5,
"Chưa mặc nhưng thấy chất dày dặn, nhìn chung là hài lòng.",POS,5,
😊chất vải đã ok mà hình thì siu ciu luôn í.shop rất nhiệt tình...chịu🤗.,POS,5,
Giao hàng nhanh.,POS,5,
Thấy khá okz thanks shop.,POS,4,
"Chất lượng sản phẩm tuyệt vời,sẽ ủng hộ shop nhiều.",POS,5,
"Chất lượng sản phẩm tạm được, vải hơi khô và mỏng.",POS,4,
Quần áo super đẹp.,POS,4,
Chất mềm mịn mát.,POS,5,
Giao hàng nhanh.,POS,5,
"Chất vải xấu, xù.",NEG,2,
"Sp tạm được, hơi rộng so vs mình.",NEU,3,
"Đẹp, chất mềm mại mặc rất thích, chủ shop nhiệt tình Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.",POS,5,
"Rất đáng tiền, tuy nhiên vải ko được co giãn lắm, nếu là bạn gái từ 55k trở lên thì khó mặc.",NEU,3,
Áo y hình Chất lượng sản phẩm tuyệt vời.,POS,5,
Áo sờ chất rất thích.,POS,4,
"Váy quá đẹp,mặc lên rất tôn da.",POS,5,
"Mình mua sp chất giống ảnh, gói hàng đẹp, giao hàng nhanh, giá cả hợp lý.",POS,4,
Chất áo thì k phải lăn tănnn luôn nhưng form hơi to .,POS,4,
"Hàng thì siêu yêu, siêu mềm mịn.",POS,5,
Chất liệu vải tốt so với giá ( 100k).,POS,4,
"Đóng gói kĩ , áo còn lại đẹp.",POS,5,
Nhìn cái áo cũ màu không đẹp vãi mỏng không đág tiền lắm.,NEG,2,
"Áo nhìn xinh , shop nói chuyện cực đáng yêu.",POS,5,
K con duong nao de che .,NEG,1,
Chất vải ok dày dặn.,POS,5,
Màu sắc k giống hình.,NEG,2,
Áo vải quá xấu.,NEG,1,
Hàng chất lượng hơn giá sản phẩm nhak mọi người.,POS,4,
